Product Name,Price,Locations,description
"

                            iPhone 11 Pro Max gold sealed BEWARE
                        
","
                        
                            
                            
                                
                                
                                    $1,200.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            City of Toronto
                          
19/08/2020
","
                        BEWARE , i met up with someone and gave them $1200 cash for a fake iphone. MAKE sure you open sealed case in front of seller before handing cash because this seller had legitimate receipt with IMEI ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            DESIGNER PHONE CASES  designer 6478741414 AJ MOBILE POINT ✊
                        
","
                        
                            
                            
                                
                                
                                     Please Contact
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Mississauga / Peel Region
                          
11/08/2020
","
                        DESIGNER PHONE CASES STARTING FROM $15.00 AND UP ! ⭐️LOTS OF DESIGNER CASES FOR IPHONE 6,7,8 AND IPHONE 6,7,8 PLUS, IPHONE SE 2020, IPHONE X, IPHONE XS, IPHONE XS MAX, IPHONE XR, IPHONE 11, IPHONE 11 ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            Samsung repair-iphone repair  (with Warranty)
                        
","
                        
                            
                            
                                
                                
                                     Free
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Hamilton
                          
19/08/2020
","
                        Cell Phone repairs We Fix - Any Phone Any Problem We will Beat any competitor in quality and price!!! (905) 226-6304 413 Whitney ave Hamilton. Store Hours: Mon-Fri 11 am-6 pm Sat 11 am-5 pm We Stock ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            iPhone 11 Pro Max 512 GB Space Grey
                        
","
                        
                            
                            
                                
                                
                                    $1,750.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Hamilton
                          
01/09/2020
","
                        Barely used 100% mint iPhone unlocked with apple care. 512 GB Space Grey Comes with: Earphones, Charger, and Yellow Case
                        
                            
                            
                            
                        

                        

                        

"
"

                            Wanted:
                            I will BUY your PHONE for Cash Today!
                        
","
                        
                            
                            
                                
                                
                                    $7,777.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                    




","

                            
                            City of Toronto
                          
25/08/2020
","
                        iPhone SE 6s 7 8 X XR Xs 11 Pro Max Plus 64GB 256GB 128GB 32GB 512GB 16GB Samsung s7 s8 s9 s10 S20 + Ultra A50 A70 A71 Note 9 10 iPad Pro Air Mini 10.5 12.9 11 Inch 2nd 3rd 4th 6th 7th Gen 2 3 3a XL ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            iPhone 11 red product 64Gb like new
                        
","
                        
                            
                            
                                
                                
                                    $750.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            City of Montréal
                          
< 12 hours ago
","
                        Comme neuf Iphone 11 inclus chargeur et écouteurs. Like new charger and headphones included. 4387964756
                        
                            
                            
                            
                        

                        

                        

"
"

                            Brand New Sealed iphone 11 64GB Green
                        
","
                        
                            
                            
                                
                                
                                    $970.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Barrie
                          
31/08/2020
","
                        Brand New Sealed iphone 11 64GB Memory Green colour available Unlocked With any carrier Comes with 1 year apple warranty buy worry free!!!
                        
                            
                            
                            
                        

                        

                        

"
"

                            Wanted:
                            Looking for an iPhone 11
                        
","
                        
                            
                            
                                
                                
                                    $750.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Ottawa
                          
23/08/2020
","
                        I'm looking for an iPhone 11 in mint condition (like new), preferably in red or black. My budget is around 750. Please contact me if you have one.
                        
                            
                            
                            
                        

                        

                        

"
"

                            Brand New Sealed iphone 11 64GB Purple
                        
","
                        
                            
                            
                                
                                
                                    $970.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Barrie
                          
31/08/2020
","
                        Brand New Sealed iphone 11 64GB Memory Purple colour available Unlocked With any carrier Comes with 1 year apple warranty buy worry free!!!
                        
                            
                            
                            
                        

                        

                        

"
"

                            Brand New & Unlocked iPhone-11 ProMax,11-Pro & iPhone-11 & SE-2
                        
","
                        
                            
                            
                                
                                
                                    $550.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Oshawa / Durham Region
                          
03/09/2020
","
                        We're selling following Brand New & Unlocked iPhone-11 & SE-2 phones; iPhone SE-2nd Gen (2020) 64GB ( New) With Charger Only in $550 --------------------------------------- iPhone SE-2nd Gen (2020) ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            I will BUY your iPHONE for CASH! iPhone 7 8 Plus X Xs Max XR 11 11 Pro Max
                        
","
                        
                            
                            
                                
                                    





    
    
         $77,777.00
    


                                
                                
                                
                            
                            

                            
                                
                                    




","

                            
                            Toronto (GTA)
                          
","
                        Get Paid Cash Today! For a quick response, Text - (647)271-7753 IPHONE 11 PRO - IPHONE 11 PRO MAX - 64GB / 256GB / 512GB IPHONE 11 - 64GB / 128GB / 256GB IPHONE XR - 64GB / 128GB / 256GB IPHONE XS - IPHONE XS MAX - 64GB / 256GB / 512GB iPHONE X - 64GB / 256GB iPHONE 8 - iPHONE 8 Plus - 64GB / 256GB iPHONE 7 -
                        
                            
                            
                            
                        

                        

                        

"
"

                            Iphone 11 Max Pro 64 gb SEALED
                        
","
                        
                            
                            
                                
                                
                                    $1,400.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            City of Toronto
                          
07/09/2020
","
                        Bought recently. Unlocked. Want the samsung s20 5g ultra instead. Pickup downtown by cityplace. Midnight green color
                        
                            
                            
                            
                        

                        

                        

"
"

                            IPhone 11 pro 64gb space grey 
                        
","
                        
                            
                            
                                
                                
                                    $1,100.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Ottawa
                          
< 13 hours ago
","
                        iPhone 11 Pro 64GB Grey 10/10 Apple care until September , 2021 Box and all accessories unused Included Battery 100%
                        
                            
                            
                            
                        

                        

                        

"
